_id,RegionID,SizeRank,RegionName,RegionType,StateName,City,latitude,longitude,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
67dcb0ab3d801f506428a110,394404,10,"Boston, MA",msa,MA,Boston,42.3554334,-71.060511,225160.46343177636,262013.75620198646,296352.7209931736,332669.33065036265,361566.2964585773,389139.64592769864,386649.36555669113,367671.0216486156,346952.23266967724,326213.3335335013,328573.1525262693,318902.042758486,315761.79808746703,337318.54600482347,361498.0994820712,382440.4374862132,408983.73130344955,437416.3256723163,465912.5629534768,477947.1902136271,501544.65919459733,564538.3829520767,617044.5013228509,637001.5015313312,682719.4253102209,697743.5642493068
67dcb0ab3d801f506428a111,394976,11,"Phoenix, AZ",msa,AZ,Phoenix,33.4484367,-112.074141,145004.394127522,153170.2745990733,160516.58152439183,168850.75723508204,182932.2114329423,239662.64085770995,297710.87814637454,282577.7806211102,231247.08500591488,171159.29069134526,153454.96491858852,135510.37595011495,147012.16174355254,181058.70367702818,201888.13443334415,212710.46305832977,231925.9810023633,246866.62399788035,265985.9520296447,283130.6599619723,311655.0663032697,387093.8303972227,470184.1390201633,446705.29780746595,457072.65387163364,453484.7814506944
67dcb0ab3d801f506428a112,395057,12,"San Francisco, CA",msa,CA,San Francisco,37.7792588,-122.4193286,316234.65518581116,376010.06265588984,401914.8599446178,438501.27937983506,502927.58686137694,601120.7868144343,643740.8632096574,624613.2214727756,557781.6128470993,481617.21035363595,479421.1417914573,448266.176562136,448459.97026510624,544549.4853353428,627999.0231550677,713206.0970364013,784185.0913268585,831298.4606118249,920312.954115265,928162.5297132325,956466.4376938686,1083155.9451350917,1195592.5790585976,1114348.5419400935,1148126.0815456212,1155763.9402589055
67dcb0ab3d801f506428a113,395025,13,"Riverside, CA",msa,CA,Riverside,33.9824949,-117.374238,141796.89076058668,157132.0854984943,176484.86801658085,207521.28606635486,260993.71955155654,333387.9705823551,381444.69035805506,373755.5580838374,285359.9062552112,201910.13450566362,195131.928359837,189787.84937871186,187938.8387900727,223431.08396194366,267771.1083247629,288493.9977352624,305353.6423274471,328194.0575629026,361717.3735329977,374506.7577157228,395221.6364328484,472306.5655347407,556133.5212042559,554376.4776902053,581773.2775726094,589101.5322141288
67dcb0ab3d801f506428a114,394532,14,"Detroit, MI",msa,MI,Detroit,42.3315509,-83.0466403,124465.0625025432,133903.13607504594,140135.17073102892,144719.7796078562,149673.72042208974,153519.9772359978,154174.26492175178,145183.54384526904,126095.90146578943,97893.33218070872,86909.42315296763,80110.63670775677,81715.45621184091,97248.26182151632,115261.07859679707,125324.68468063307,136194.05443645196,148431.6540800172,161539.27802798265,172376.39245690315,181263.37394273854,206508.60932861362,225692.97272504008,231050.56329490428,243464.52456964948,249327.16126703087
67dcb0ab3d801f506428a115,395078,15,"Seattle, WA",msa,WA,Seattle,47.6038321,-122.330062,226118.64956153612,239867.5615762859,250565.79359350412,261373.97251080253,282336.4978592195,321566.95678502746,377133.73532264424,407742.2851302703,385056.3926457588,336155.87948677014,314372.61750492186,282266.44372968073,261361.14642316985,287760.71383918327,316023.87916574144,345284.37309000484,388728.4353129869,437119.9489458552,489738.1110457708,499991.36299189384,535049.6368559065,631849.125112527,725873.4005425707,697639.8258962051,730778.5025882229,750695.0375389267
67dcb0ab3d801f506428a116,395056,17,"San Diego, CA",msa,CA,San Diego,32.7174202,-117.162772,229447.92111319824,267124.68576063577,305133.4215203265,365662.78937491664,448716.0835763309,528853.643837246,536450.5587942434,500965.96769317245,426057.3769704246,361271.3295112986,366025.9632162402,346214.6004604195,343822.6290646852,397748.99492582114,444766.11752126965,475989.6243875352,512870.3690245795,550608.6105531034,585202.9017591636,594801.2721114563,627050.5900516893,736818.5169140068,863371.9880296057,867497.6723689694,939445.3150179363,948710.7180732121
67dcb0ab3d801f506428a117,394865,16,"Minneapolis, MN",msa,MN,Minneapolis,44.9772995,-93.2654692,149021.30357739815,169480.64628863265,188114.79608558005,205385.62608954648,222518.20671066176,238280.36197903848,245564.5690357651,241587.4844570878,222589.2554212561,200774.1013675439,196111.47176523763,177794.3271492588,173987.8070413336,194160.8594591293,210995.3497907404,221280.78141728268,235922.9221083965,252723.88387239035,269735.33021108585,282325.8016107347,297317.84290616465,332621.03875601577,359595.3917971943,359733.56943155284,364334.28914129286,370760.04072381696
67dcb0ab3d801f506428a118,395148,18,"Tampa, FL",msa,FL,Tampa,27.9477595,-82.458444,101915.75455688503,110787.35704571467,121617.92970900651,134983.3568833126,153049.98826179942,185997.08839702446,222784.48272150647,217096.98615572602,181435.5584621136,147103.84239049084,134718.14585500825,119615.90569608891,117373.56835788314,131668.44021050385,147193.55441991703,159498.57120537953,176705.43337535602,194079.1731156689,210577.76352838884,222756.61661104986,239111.88702226305,285025.9627742089,359723.87396364746,369105.5318281483,374833.39703136357,366872.8912095196
67dcb0ab3d801f506428a119,394530,19,"Denver, CO",msa,CO,Denver,39.7392364,-104.984862,198039.1643290289,224054.67398997466,236101.58968844436,239919.98805368788,243957.3635979219,249232.4111270453,252224.06994724498,249324.51857011227,239137.0613362888,232423.05320188406,232303.8745893203,223081.95148994203,227038.85868967065,251267.48702230558,275214.57581316255,312355.9151620172,349349.0179705915,380280.4761537093,406585.7065415696,424223.97995192674,447268.34290355834,516931.02154156816,591934.3302181694,577645.327579854,584945.627303136,586864.2864600811
67dcb0ab3d801f506428a11a,394358,20,"Baltimore, MD",msa,MD,Baltimore,39.2908816,-76.610759,142482.97909867013,149717.65220898812,162763.39643267807,183672.41862242893,214268.64414285656,258994.94388542572,297793.5119977106,305538.8688830106,290712.8913790206,264262.20203419146,252909.19761346633,236637.93961911733,232966.46321440386,243817.06296342143,254148.5171733019,257644.72292909026,263307.02020808373,271140.3834597091,279902.0408390683,287905.1879120724,299600.38533593464,332079.63414974086,356576.21374637523,366981.95902702125,379675.2428698605,386515.8539601859
67dcb0ab3d801f506428a11b,395121,21,"St. Louis, MO",msa,MO,St. Louis,38.6280278,-90.1910154,111789.16571598306,119598.23462243857,128176.213763783,137353.70045097405,147019.38473835125,155406.41821929687,162709.9368217395,164760.2729993067,160393.78885518553,153386.0817325275,149792.79812087186,140779.97295643916,135229.40989186315,136872.8920613793,140468.51217616902,145306.27133157838,152473.54514413644,159497.08126633614,166588.985738315,173053.53612966338,183232.5250162359,205630.60138490025,225679.5804903092,235509.7589956293,246213.32087289807,251723.64520318137
67dcb0ab3d801f506428a11c,394943,22,"Orlando, FL",msa,FL,Orlando,28.5421109,-81.3790304,119515.81336002762,128318.14180696338,138092.7733974227,149018.14167473538,165870.31417205554,205701.92973373135,258862.40483498442,256620.09417010067,213321.6953411758,161538.37393699432,141048.3192357308,126282.51059396767,127008.75602027582,146310.6368351564,167735.4409404013,180560.02408241073,196224.00944487393,213279.9693475977,231771.1044457783,247111.19507001934,261810.9115236081,298411.91206682706,368478.6710300317,384716.999045154,394009.98346665216,391347.80881235894
67dcb0ab3d801f506428a11d,394458,23,"Charlotte, NC",msa,NC,Charlotte,35.2272086,-80.8430827,142900.85093398442,148251.8272961992,150893.121976652,152618.58184592953,155129.81474960255,158784.12297468446,165679.19326055146,174374.46653685745,175985.50761692462,165450.7564866964,158622.3177961318,147987.01903456415,145307.94524008894,152495.41270023593,161927.89018652414,170904.88027863743,185087.77527267588,200220.38098475456,216688.2955864709,229563.2203349788,247224.8825178021,295234.2906920219,356841.1342470543,363045.9081974221,376030.07059479255,377880.2413915207
